MESS_DATUM,T_aussen_C,Heizlast_kW
2019050514,10.5,0.0
2019050515,10.8,0.0
2019050516,10.4,0.0
2019050517,8.4,0.0
2019050518,9.0,0.0
2019050519,7.1,327.86903249999995
2019050520,6.6,732.9789949999999
2019050521,5.2,809.55889
2019050522,5.5,793.1489124999999
2019050523,4.0,875.1988
2019050600,2.6,951.7786949999999
2019050601,3.1,924.4287324999999
2019050602,2.7,946.3087025
2019050603,3.5,902.5487625
2019050604,3.4,908.0187550000002
2019050605,3.3,869.0087475
2019050606,4.4,719.9588299999999
2019050607,5.9,282.3889425
2019050608,7.3,0.0
2019050609,7.0,0.0
2019050610,8.8,0.0
2019050611,8.6,0.0
2019050612,8.5,0.0
2019050613,9.5,0.0
2019050614,9.6,0.0
2019050615,10.9,0.0
2019050616,10.3,0.0
2019050617,7.7,228.3290775
2019050618,7.3,428.0490475
2019050619,7.3,450.2090475
2019050620,6.9,716.5690175
2019050621,6.4,743.91898
2019050622,6.3,749.3889725
2019050623,6.1,760.3289575
2019050700,5.8,776.7389350000001
2019050701,5.4,798.618905
2019050702,5.0,820.498875
2019050703,4.6,842.378845
2019050704,4.5,847.8488375000001
2019050705,4.8,764.79886
2019050706,6.1,404.8089575
2019050707,7.2,0.0
2019050708,8.3,0.0
2019050709,9.2,0.0
2019050710,9.8,0.0
2019050711,10.7,0.0
2019050712,11.5,0.0
2019050713,11.8,0.0
2019050714,11.8,0.0
2019050715,12.4,0.0
2019050716,12.2,0.0
2019050717,11.9,0.0
2019050718,11.9,0.0
2019050719,9.4,0.0
2019050720,8.2,645.459115
2019050721,8.7,618.1091524999999
2019050722,8.3,639.9891225
2019050723,7.5,683.7490625
2019050800,7.3,694.6890475
2019050801,6.9,716.5690175
2019050802,4.9,825.9688675
2019050803,7.1,705.6290325
2019050804,7.1,705.6290325
2019050805,7.5,639.2690625
2019050806,8.3,262.2291225000001
2019050807,8.4,0.0
2019050808,8.9,0.0
2019050809,8.7,0.0
2019050810,8.8,0.0
2019050811,10.5,0.0
2019050812,11.3,0.0
2019050813,11.2,0.0
2019050814,11.1,0.0
2019050815,11.6,0.0
2019050816,11.8,93.01938499999996
2019050817,11.7,320.64937750000007
2019050818,11.4,337.059355
2019050819,11.3,409.24934749999994
2019050820,10.9,497.7693175
2019050821,10.2,536.0592650000001
2019050822,9.8,557.9392349999999
2019050823,9.4,579.819205
2019050900,8.9,607.1691675
2019050901,6.6,732.9789949999999
2019050902,7.4,689.2190549999999
2019050903,8.0,656.3991
2019050904,8.1,584.2891075
2019050905,7.8,0.0
2019050906,9.5,0.0
2019050907,11.2,0.0
2019050908,12.3,0.0
2019050909,12.5,0.0
2019050910,11.8,0.0
2019050911,13.0,0.0
2019050912,12.9,0.0
2019050913,13.6,0.0
2019050914,12.9,0.0
2019050915,13.5,0.0
2019050916,14.5,0.0
2019050917,15.3,0.0
2019050918,14.1,0.0
2019050919,12.2,426.659415
